原始名称,中文名称,单位
ACSC001-L-200,右制冷包进口温度,
ACSC001-L-201,左制冷包进口温度,
ACSC001-L-202,驾驶舱温度,
ACSC001-L-203,通舱温度,
ACSC001-L-204,通舱供气温度,
ACSC001-L-205,驾驶舱供气温度,
ACSC001-L-206,驾驶舱设定温度,
ACSC001-L-207,通舱设定温度,
ACSC001-L-210,左制冷包流量,kg/h
ACSC001-L-211,右制冷包流量,kg/h
ACSC001-L-212,1号发动机引气压力,
ACSC001-L-213,2号发动机引气压力,
ACSC001-L-214,3号发动机引气压力,
ACSC001-L-215,4号发动机引气压力,
ACSC001-L-216,驾驶舱调温活门角度,
ACSC001-L-217,通舱调温活门角度,
ADRU1004-L-176,未修正左静压_A1,hPa
ADRU1004-L-177,未修正右静压_A1,hPa
ADRU1004-L-203,气压高度_A1,m
ADRU1004-L-204,气压修正高度_A1,m
ADRU1004-L-205,马赫数_A1,
ADRU1004-L-206,指示空速_A1,km/h
ADRU1004-L-210,真空速_A1,km/h
ADRU1004-L-211,总温_A1,°C
ADRU1004-L-212,升降速度_A1,m/s
ADRU1004-L-213,静温_A1,°C
ADRU1004-L-215,动压_A1,hPa
ADRU1004-L-234,气压装订_A1,hPa
ADRU1004-L-242,全压_A1,hPa
ADRU1004-L-245,未修正平均静压_A1,hPa
ADRU1004-L-246,修正平均静压_A1,hPa
ADRU2004-L-176,未修正左静压_A2,hPa
ADRU2004-L-177,未修正右静压_A2,hPa
ADRU2004-L-203,气压高度_A2,m
ADRU2004-L-204,气压修正高度_A2,m
ADRU2004-L-205,马赫数_A2,
ADRU2004-L-206,指示空速_A2,km/h
ADRU2004-L-210,真空速_A2,km/h
ADRU2004-L-211,总温_A2,°C
ADRU2004-L-212,升降速度_A2,m/s
ADRU2004-L-213,静温_A2,°C
ADRU2004-L-215,动压_A2,hPa
ADRU2004-L-234,气压装订_A2,hPa
ADRU2004-L-242,全压_A2,hPa
ADRU2004-L-245,未修正平均静压_A2,hPa
ADRU2004-L-246,修正平均静压_A2,hPa
ADRU3001-L-176,未修正左静压_A3,hPa
ADRU3001-L-177,未修正右静压_A3,hPa
ADRU3001-L-203,气压高度_A3,m
ADRU3001-L-204,气压修正高度_A3,m
ADRU3001-L-205,马赫数_A3,
ADRU3001-L-206,指示空速_A3,km/h
ADRU3001-L-212,升降速度_A3,m/s
ADRU3001-L-215,动压_A3,hPa
ADRU3001-L-234,气压装订_A3,hPa
ADRU3001-L-242,全压_A3,hPa
ADRU3001-L-245,未修正平均静压_A3,hPa
ADRU3001-L-246,修正平均静压_A3,hPa
AHRU002-L-320,磁航向_AH,°
AHRU002-L-324,俯仰角_AH,°
AHRU002-L-325,滚转角_AH,°
AHRU002-L-326,俯仰角速度_AH,°/s
AHRU002-L-327,滚转角速度_AH,°/s
AHRU002-L-330,偏航角速度_AH,°/s
AHRU002-L-331,纵向过载_AH,g
AHRU002-L-332,侧向过载_AH,g
AHRU002-L-333,法向过载_AH,g
AHRU002-L-340,航向角变化率_AH,°/s
AIL_l_pos,左副翼位置,°
AIL_r_pos,右副翼位置,°
AOA1_H,AOA1高端电压,
AOA1_L,AOA1低端电压,
AOA2_H,AOA2高端电压,
AOA2_L,AOA2低端电压,
AOA3_H,AOA3高端电压,
AOA3_L,AOA3低端电压,
AOA4_H,AOA4高端电压,
AOA4_L,AOA4低端电压,
AirSpeed_vote,指示空速表决值,km/h
Alfa_vote,迎角表决值,°
BCU001-L-001,左驾左刹车指令,
BCU001-L-002,左驾右刹车指令,
BCU001-L-003,右驾左刹车指令,
BCU001-L-004,右驾右刹车指令,
BCU001-L-005,左内轮速,km/h
BCU001-L-006,右内轮速,km/h
BCU001-L-070,左内刹车压力,bar
BCU001-L-072,右内刹车压力,bar
BCU001-L-270-11,左驾驶左刹车指令传感器1,
BCU001-L-270-12,左驾驶右刹车指令传感器1,
BCU001-L-270-13,右驾驶左刹车指令传感器1,
BCU001-L-270-14,右驾驶右刹车指令传感器1,
BCU001-L-271-12,左内刹车失效,
BCU001-L-271-13,右内刹车失效,
BCU001-L-271-14,内板防滑失效,
BCU001-L-271-15,PAD,
BCU001-L-271-16,左内有刹车余压,
BCU001-L-271-17,右内有刹车余压,
BCU001-L-271-18,系统内侧需维护1,
BCU001-L-271-19,外板控制通道刹车失效,
BCU001-L-271-20,系统内侧需维护2,
BCU001-L-272-12,左内正常刹车压力传感器I,
BCU001-L-272-13,右内正常刹车压力传感器I,
BCU001-L-272-14,左内正常刹车压力传感器Ⅱ,
BCU001-L-272-15,右内正常刹车压力传感器Ⅱ,
BCU001-L-272-16,左内机轮速度传感器Ⅰ,
BCU001-L-272-17,右内机轮速度传感器Ⅰ,
BCU001-L-272-18,左内机轮速度传感器Ⅱ,
BCU001-L-272-19,右内机轮速度传感器Ⅱ,
BCU001-L-272-20,左内组合式伺服阀,
BCU001-L-272-21,右内组合式伺服阀,
BCU001-L-272-22,刹车控制单元内板Ⅰ,
BCU001-L-272-23,刹车控制单元内板Ⅱ,
BCU001-L-272-24,刹车控制单元内板Ⅲ,
BCU001-L-273-11,BCU内板防滑状态指示,
BCU002-L-001,左驾驶左刹车指令信号2,
